,school-name,matched_again,match_from,school_address
822,Yale University,"New Haven, CT",Collegelist,
823,Arizona State University,"Tempe, AZ",Collegelist,
824,Arizona State University,"Tempe, AZ",Collegelist,
825,Massachusetts Institute of Technology,"Cambridge, MA",Collegelist,
826,Massachusetts Institute of Technology,"Cambridge, MA",Collegelist,
827,Stanford University,"Bowling Green, KY",Collegelist,
828,Carnegie Mellon University,"Pittsburgh, PA",Collegelist,
829,Quinnipiac University - School of Business,,,
830,Norwood High School,"1225 WEST SUMMIT ST NORWOOD, CO 81423",Collegelist,
831,Willamette University,"Salem, OR",Collegelist,
832,Los Gatos High School,"20 HIGH SCHOOL COURT LOS GATOS, CA 95030",Collegelist,
833,University of Connecticut,"Storrs, CT",Collegelist,
834,San Jose State University,"San Jose, CA",Collegelist,
835,University of Massachusetts Dartmouth,"North Dartmouth, MA",Collegelist,
836,Harvey Mudd College,"Claremont, CA",Collegelist,
837,Georgia Institute of Technology,"Atlanta, GA",Collegelist,
838,"University of Michigan College of Literature, Science, and the Arts",,,
839,Hobart and William Smith Colleges,"College Park, MD",Collegelist,
840,Potsdam Highschool,,,
841,Stanford University,"Bowling Green, KY",Collegelist,
842,Stanford University,"Bowling Green, KY",Collegelist,
843,Stanford University,"Bowling Green, KY",Collegelist,
844,Hunter College,"New York, NY",Collegelist,
845,Hobart and William Smith Colleges,"College Park, MD",Collegelist,
846,The University of Queensland,"(University of Queensland, University Drive, Saint Lucia, Brisbane, Queensland, 4072, Australia, (-27.49741795, 153.013162562))",Nominatum,"University of Queensland, University Drive, Saint Lucia, Brisbane, Queensland, 4072, Australia"
847,Quinnipiac University - School of Business,,,
848,"International College of Management, Manly, Sydney","(International College of Management, 151, Darley Road, Manly, Sydney, New South Wales, 2095, Australia, (-33.80403375, 151.293746065))",Nominatum,"International College of Management, 151, Darley Road, Manly, Sydney, New South Wales, 2095, Australia"
849,Manchester Business School,"(Manchester Business School, Booth Street West, Smithfield Gardens, Hulme, Manchester, Greater Manchester, North West England, England, M1 7EL, United Kingdom, (53.4679655, -2.2361717))",Nominatum,"Manchester Business School, Booth Street West, Smithfield Gardens, Hulme, Manchester, Greater Manchester, North West England, England, M1 7EL, United Kingdom"
850,Lincoln Sudbury Regional High School,"390 LINCOLN RD SUDBURY, MA 01776",Collegelist,
851,Johnson and Wales University,"Ithaca, NY",Collegelist,
852,Colorado State University,"Fort Collins, CO",Collegelist,
853,Rensselaer Polytechnic Institute,"Troy, NY",Collegelist,
854,Boise State University,"Boise, ID",Collegelist,
855,The University of the Basque Country,"(Euskal Herriko Unibertsitatea, Ibaeta Campusa, Calle Andrestegi kalea, Ibaeta, Donostia/San Sebastián, Donostialdea/Donostia-San Sebastián, Gipuzkoa, Euskadi, 20001;20002;20003;20004;20005;20006;20007;20008;20009;20010;20011;20012;20013;20014;20015;20016;20017;20018, España, (43.3092116, -2.01079559605))",Nominatum,"Euskal Herriko Unibertsitatea, Ibaeta Campusa, Calle Andrestegi kalea, Ibaeta, Donostia/San Sebastián, Donostialdea/Donostia-San Sebastián, Gipuzkoa, Euskadi, 20001;20002;20003;20004;20005;20006;20007;20008;20009;20010;20011;20012;20013;20014;20015;20016;20017;20018, España"
856,Boston College - Wallace E. Carroll Graduate School of Management,"Chestnut Hill, MA",Manual,
857,University of Vermont,"Burlington, VT",Collegelist,
858,Holliston,"(Holliston, Middlesex County, Massachusetts, United States of America, (42.2000966, -71.4245049))",Nominatum,"Holliston, Middlesex County, Massachusetts, United States of America"
859,Tufts University,"Medford, MA",Collegelist,
860,Connecticut College,"New London, CT",Collegelist,
861,Universidad Rey Juan Carlos,"(Universidad Rey Juan Carlos, Avenida Alcalde de Móstoles, Iviasa, Peñaca, Móstoles, Área metropolitana de Madrid y Corredor del Henares, Madrid, Comunidad de Madrid, 28933, España, (40.3348673, -3.8721423))",Nominatum,"Universidad Rey Juan Carlos, Avenida Alcalde de Móstoles, Iviasa, Peñaca, Móstoles, Área metropolitana de Madrid y Corredor del Henares, Madrid, Comunidad de Madrid, 28933, España"
862,Universidad Carlos III de Madrid,"(Universidad Carlos III de Madrid, Calle de Madrid, Las Margaritas, Getafe, Área metropolitana de Madrid y Corredor del Henares, Madrid, Comunidad de Madrid, 28904, España, (40.3174362, -3.72636312308))",Nominatum,"Universidad Carlos III de Madrid, Calle de Madrid, Las Margaritas, Getafe, Área metropolitana de Madrid y Corredor del Henares, Madrid, Comunidad de Madrid, 28904, España"
863,Cambridge University,"Montgomery, AL",Collegelist,
864,Escuela Oficial de Idiomas,"(Escuela oficial de idiomas, 0, Calle José Pradas Gallén, Grupo Perales, Castellón de la Plana / Castelló de la Plana, Plana Alta, Castellón / Castelló, Comunitat Valenciana, 12006, España, (39.9925916, -0.0591326380595))",Nominatum,"Escuela oficial de idiomas, 0, Calle José Pradas Gallén, Grupo Perales, Castellón de la Plana / Castelló de la Plana, Plana Alta, Castellón / Castelló, Comunitat Valenciana, 12006, España"
865,St. Michael´s School,"(Saint Michaels School, South Durham Street, Fells Prospect, Baltimore, Maryland, 21231, United States of America, (39.2909404, -76.5907996))",Nominatum,"Saint Michaels School, South Durham Street, Fells Prospect, Baltimore, Maryland, 21231, United States of America"
866,Salem State University,"Salem, MA",Collegelist,
867,Universidad Complutense de Madrid,"(Facultad de Educación, Universidad Complutense de Madrid, s/n, Calle del Rector Royo-Villanova, Moncloa, Moncloa-Aravaca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Madrid, Comunidad de Madrid, 28040, España, (40.4506776, -3.71781818621))",Nominatum,"Facultad de Educación, Universidad Complutense de Madrid, s/n, Calle del Rector Royo-Villanova, Moncloa, Moncloa-Aravaca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Madrid, Comunidad de Madrid, 28040, España"
868,Central High School," Philadelphia, PA",Collegelist,
869,Central High School," Philadelphia, PA",Collegelist,
870,New York University,"New York, NY",Collegelist,
871,Florida State University,"Tallahassee, FL",Collegelist,
872,Arizona State University,"Tempe, AZ",Collegelist,
873,Waubonsie Valley High School,"2590 OGDEN AVE AURORA, IL 60504",Collegelist,
874,University of Miami - School of Business,,,
875,"University of California, Santa Barbara","Santa Barbara, CA",Collegelist,
876,Bryant University,"Greensboro, NC",Collegelist,
877,New England School of Law,"(New England School of Law, Joy Street, Downtown Crossing, Beacon Hill, Boston, Suffolk County, Massachusetts, 02114, United States of America, (42.3587085, -71.0650512))",Nominatum,"New England School of Law, Joy Street, Downtown Crossing, Beacon Hill, Boston, Suffolk County, Massachusetts, 02114, United States of America"
878,The College of Saint Rose,"(College of Saint Rose, Madison Avenue, Center Square, Albany, Albany County, New York, 12208, United States of America, (42.66365465, -73.7858596352))",Nominatum,"College of Saint Rose, Madison Avenue, Center Square, Albany, Albany County, New York, 12208, United States of America"
879,"University of Massachusetts, Amherst","Amherst, MA",Collegelist,
880,University of Rhode Island,"Kingston, RI",Collegelist,
881,Brown University,"Providence, RI",Collegelist,
882,Northern Arizona University-The W. A. Franke College of Business,"Flagstaff, AZ",Manual,
883,Eastern Arizona College,"(Eastern Arizona College, West Church Street, Thatcher, Graham County, Arizona, 85552, United States of America, (32.84556775, -109.762043578))",Nominatum,"Eastern Arizona College, West Church Street, Thatcher, Graham County, Arizona, 85552, United States of America"
884,Beijing International Studies University,"(Beijing International Studies University, 1, 建国路, 定福庄, 朝阳区 / Chaoyang, 北京市, 100024, 中国, (39.9114853, 116.560241271))",Nominatum,"Beijing International Studies University, 1, 建国路, 定福庄, 朝阳区 / Chaoyang, 北京市, 100024, 中国"
885,San Francisco State University,"San Francisco, CA",Collegelist,
886,Westfield State College,"(Westfield State College, Russell Road, Flynn Manor, Westfield, Hampden County, Massachusetts, 01085, United States of America, (42.13060485, -72.7839824594))",Nominatum,"Westfield State College, Russell Road, Flynn Manor, Westfield, Hampden County, Massachusetts, 01085, United States of America"
887,Tuck School of Business at Dartmouth,"Hanover, NH",Manual,
888,"University of California, Los Angeles","Los Angeles, CA",Collegelist,
889,Florida State University,"Tallahassee, FL",Collegelist,
890,University of Arizona,"Tucson, AZ",Collegelist,
891,,,,
892,"University at Albany, SUNY","Albany, NY",Collegelist,
893,University of Massachusetts Dartmouth,"North Dartmouth, MA",Collegelist,
894,Massachusetts College of Art and Design,"(Massachusetts College of Art and Design, Huntington Avenue, Roxbury Crossing, Fenway, Boston, Suffolk County, Massachusetts, 02115, United States of America, (42.33687295, -71.0993024966))",Nominatum,"Massachusetts College of Art and Design, Huntington Avenue, Roxbury Crossing, Fenway, Boston, Suffolk County, Massachusetts, 02115, United States of America"
895,Stanford University,"Bowling Green, KY",Collegelist,
896,Bellarmine College Preparatory,"(BCP, West Hedding Street, College Park, Rose Garden, San José, Santa Clara County, California, 95126, United States of America, (37.3427658, -121.918110148))",Nominatum,"BCP, West Hedding Street, College Park, Rose Garden, San José, Santa Clara County, California, 95126, United States of America"
897,Loyola Marymount University,"Los Angeles, CA",Collegelist,
898,Copenhagen Business School,"(Copenhagen Business School, 3, Solbjerg Plads, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark, (55.6816615, 12.529462066))",Nominatum,"Copenhagen Business School, 3, Solbjerg Plads, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark"
899,Frostburg State University,"Frostburg, MD",Collegelist,
900,Boston University School of Law,"(Boston University School of Law, Storrow Drive, Fenway, Boston, Suffolk County, Massachusetts, 02215, United States of America, (42.3511035, -71.1072381))",Nominatum,"Boston University School of Law, Storrow Drive, Fenway, Boston, Suffolk County, Massachusetts, 02215, United States of America"
901,Syracuse University,"Syracuse, NY",Collegelist,
902,University of Vermont,"Burlington, VT",Collegelist,
903,Newburyport High School,"241 HIGH ST NEWBURYPORT, MA 01950",Collegelist,
904,Northeastern University,"New York, NY",Collegelist,
905,University of Massachusetts Lowell,"Lowell, MA",Collegelist,
906,Harvard Summer School,"(Harvard Circle, PGH, Allegheny County, penna, 15212, United States of America, (40.4849181, -80.0314617076))",Nominatum,"Harvard Circle, PGH, Allegheny County, penna, 15212, United States of America"
907,MIT,"(MIT, Amherst Street, Cambridgeport, Cambridge, Middlesex County, Massachusetts, 02238, United States of America, (42.3583961, -71.0956777459))",Nominatum,"MIT, Amherst Street, Cambridgeport, Cambridge, Middlesex County, Massachusetts, 02238, United States of America"
908,University of California at Berkeley,"Berkeley, CA",Collegelist,
909,Bahrain International School," Bellevue, WA",Collegelist,
910,"University of California, San Diego","La Jolla, CA",Collegelist,
911,University of Hartford,"Bowling Green, KY",Collegelist,
912,University of Hartford,"Bowling Green, KY",Collegelist,
913,UMass Dartmouth,,,
914,Suffolk University,"Boston, MA",Collegelist,
915,University of Michigan - Stephen M. Ross School of Business,"Ann Arbor, MI",Manual,
916,Duke University,"Durham, NC",Collegelist,
917,Tulane University,"New Orleans, LA",Collegelist,
918,Danish Institute of Study Abroad,"East Lansing, MI",Manual,
919,New York University,"New York, NY",Collegelist,
920,Absegami,"(Absegami Road, Chatham, Barnstable County, Massachusetts, 02633, United States of America, (41.683958, -69.9706899))",Nominatum,"Absegami Road, Chatham, Barnstable County, Massachusetts, 02633, United States of America"
921,Massachusetts Institute of Technology,"Cambridge, MA",Collegelist,
922,Ecole polytechnique,"(École polytechnique, Avenue René Descartes, Palaiseau, Essonne, Île-de-France, France métropolitaine, 91120, France, (48.71408515, 2.21308087755))",Nominatum,"École polytechnique, Avenue René Descartes, Palaiseau, Essonne, Île-de-France, France métropolitaine, 91120, France"
923,Arizona State University,"Tempe, AZ",Collegelist,
924,Minzu University of China,"(中央民族大学, 魏公街, 稻香园南社区, 海淀区, 北京市, 100872, 中国, (39.95038225, 116.314304701))",Nominatum,"中央民族大学, 魏公街, 稻香园南社区, 海淀区, 北京市, 100872, 中国"
925,Ball State University,"Muncie, IN",Collegelist,
926,St. Joseph's College (IN),"Rensselaer, IN",Collegelist,
927,London Metropolitan University,"(London Metropolitan University, Hornsey Road, Lower Holloway, London Borough of Islington, London, Greater London, England, N7 6PP, United Kingdom, (51.55324965, -0.111879571026))",Nominatum,"London Metropolitan University, Hornsey Road, Lower Holloway, London Borough of Islington, London, Greater London, England, N7 6PP, United Kingdom"
928,University of Maryland College Park,"College Park, MD",Collegelist,
929,"Purchase College, State University of New York",,,
930,"Purchase College, SUNY","Purchase, NY",Collegelist,
931,Nebrija University,,,
932,Oakton Community College,"(Oakton Community College, Mulford Street, Skokie, Cook County, Illinois, 60077, United States of America, (42.0213735, -87.7494628696))",Nominatum,"Oakton Community College, Mulford Street, Skokie, Cook County, Illinois, 60077, United States of America"
933,,,,
934,Arizona State University,"Tempe, AZ",Collegelist,
935,St. Edward's University,"Austin, TX",Collegelist,
936,Emerson College,"Boston, MA",Collegelist,
937,UOC,"(UOC, Plaça de la Cultura de la Pau, el Carme, Reus, Baix Camp, Tarragona, CAT, 43201, España, (41.1538709, 1.10039959511))",Nominatum,"UOC, Plaça de la Cultura de la Pau, el Carme, Reus, Baix Camp, Tarragona, CAT, 43201, España"
938,Universitat de Girona,"(Universitat de Girona, Plaça de Josep Ferrater i Mora, Barri Vell, GRN, Girona, CAT, 17006, España, (41.98530405, 2.82765026946))",Nominatum,"Universitat de Girona, Plaça de Josep Ferrater i Mora, Barri Vell, GRN, Girona, CAT, 17006, España"
939,University of Arizona,"Tucson, AZ",Collegelist,
940,University of Arizona,"Tucson, AZ",Collegelist,
941,University of Arizona,"Tucson, AZ",Collegelist,
942,University of Arizona,"Tucson, AZ",Collegelist,
943,Tulane University,"New Orleans, LA",Collegelist,
944,University of Rhode Island,"Kingston, RI",Collegelist,
945,Michigan State University,"East Lansing, MI",Collegelist,
946,"Farmington High School, Farmington CT","(Farmington High School, 3200, Shiawassee Road, Farmington, Oakland County, Michigan, 48336, United States of America, (42.4639252, -83.3607603737))",Nominatum,"Farmington High School, 3200, Shiawassee Road, Farmington, Oakland County, Michigan, 48336, United States of America"
947,University of Virginia - Darden Graduate School of Business Administration,"Charlottesville, VA",Manual,
948,University of Virginia,"Charlottesville, VA",Collegelist,
949,Texas A&M University,"Canyon, TX",Collegelist,
950,Harvey Mudd College,"Claremont, CA",Collegelist,
951,Hartwick College,"Oneonta, NY",Collegelist,
952,Massachusetts College of Art,"(Massachusetts College of Art, Huntington Avenue, Roxbury Crossing, Fenway, Boston, Suffolk County, Massachusetts, 02115, United States of America, (42.336189, -71.0997199))",Nominatum,"Massachusetts College of Art, Huntington Avenue, Roxbury Crossing, Fenway, Boston, Suffolk County, Massachusetts, 02115, United States of America"
953,Massachusetts College of Art and Design - 2011,"(Massachusetts College of Art and Design, Huntington Avenue, Roxbury Crossing, Fenway, Boston, Suffolk County, Massachusetts, 02115, United States of America, (42.33687295, -71.0993024966))",Nominatum,"Massachusetts College of Art and Design, Huntington Avenue, Roxbury Crossing, Fenway, Boston, Suffolk County, Massachusetts, 02115, United States of America"
954,Lafayette College,"Easton, PA",Collegelist,
955,Loyola School," New York City, NY",Collegelist,
956,Northeastern University,"New York, NY",Collegelist,
957,"Rutgers, The State University of New Jersey-New Brunswick","Piscataway, NJ",Collegelist,
958,Northeastern University,"New York, NY",Collegelist,
959,Arizona State University - W. P. Carey School of Business,"Tempe, AZ",Manual,
960,"Arizona State University, W. P. Carey School of Business","Tempe, AZ",Manual,
961,"University of Arizona, Eller College of Management","Tucson, AZ",Manual,
962,"University of California, Berkeley - School of Law","Berkeley, CA",Collegelist,
963,"University of California, Santa Barbara","Santa Barbara, CA",Collegelist,
964,Florida Agricultural and Mechanical University,"(Florida Agricultural and Mechanical University, West Osceola Street, Tallahassee, Leon County, Florida, 32301, United States of America, (30.4227425, -84.2875992351))",Nominatum,"Florida Agricultural and Mechanical University, West Osceola Street, Tallahassee, Leon County, Florida, 32301, United States of America"
965,Suffolk University Law School,,,
966,Uppsala University,"(MVM, Lennart Hjelms väg, Ultuna, Uppsala, Uppsala län, Landskapet Uppland, Uppsala län, Svealand, 75643, Sverige, (59.81692585, 17.6620012577))",Nominatum,"MVM, Lennart Hjelms väg, Ultuna, Uppsala, Uppsala län, Landskapet Uppland, Uppsala län, Svealand, 75643, Sverige"
967,Stockholm University,"(Kungliga Tekniska högskolan, Osquars Backe, Villastaden, Stockholm postort, Sthlm, Stockholm, Stockholms län, Landskapet Uppland, Stockholms län, Svealand, 11428, Sverige, (59.347167, 18.0729617))",Nominatum,"Kungliga Tekniska högskolan, Osquars Backe, Villastaden, Stockholm postort, Sthlm, Stockholm, Stockholms län, Landskapet Uppland, Stockholms län, Svealand, 11428, Sverige"
968,The Ballet Academy of Stockholm / Balettakademien Stockholm,,,
969,Harvard Business School,"(Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America, (42.3662654, -71.1219945))",Nominatum,"Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America"
970,Harvard University,"Cambridge, MA",Collegelist,
971,Penn State University,"(Pennsylvania State University Du Bois Campus, 1, College Place, DuBois, Clearfield County, penna, 15801, United States of America, (41.1272027, -78.7520584))",Nominatum,"Pennsylvania State University Du Bois Campus, 1, College Place, DuBois, Clearfield County, penna, 15801, United States of America"
972,,,,
973,,,,
974,"University of Califonia, Los Angeles","Los Angeles, CA",Collegelist,
975,University of Florida,"Gainesville, FL",Collegelist,
976,California State University-Los Angeles,"Los Angeles, CA",Collegelist,
977,"California State University, Los Angeles - College of Business and Economics",,,
978,Elon University,"Elon, NC",Collegelist,
979,University of Florida,"Gainesville, FL",Collegelist,
980,Zhengzhou University,"(郑州大学南校区, 桃源路, 二七区, 郑州市, 二七区 (Erqi), 郑州市 / Zhengzhou, 河南省, 中国, (34.7447002, 113.633420708))",Nominatum,"郑州大学南校区, 桃源路, 二七区, 郑州市, 二七区 (Erqi), 郑州市 / Zhengzhou, 河南省, 中国"
981,"Southern Illinois University, Carbondale","Carbondale, IL",Collegelist,
982,Rice University,"Houston, TX",Collegelist,
983,Rice University,"Houston, TX",Collegelist,
984,San Jose State University,"San Jose, CA",Collegelist,
985,The University of Connecticut,"Storrs, CT",Collegelist,
986,Stonehill College,"Easton, MA",Collegelist,
987,"National University of Ireland, Galway","(National University of Ireland, Galway, Earl's Island, Townparks, Galway Municipal District, Cathair na Gaillimhe, County Galway, Connacht, Republic of Ireland, (53.27639715, -9.05829950688))",Nominatum,"National University of Ireland, Galway, Earl's Island, Townparks, Galway Municipal District, Cathair na Gaillimhe, County Galway, Connacht, Republic of Ireland"
988,UC Berkeley,"(UC Berkeley, Centennial Drive, Oakland, Alameda County, California, 94720, United States of America, (37.87631055, -122.238859169))",Nominatum,"UC Berkeley, Centennial Drive, Oakland, Alameda County, California, 94720, United States of America"
989,Santa Monica College,"(Santa Monica College, 17th Street, Santa Monica, Los Angeles County, California, 90405, United States of America, (34.0167033, -118.470934438))",Nominatum,"Santa Monica College, 17th Street, Santa Monica, Los Angeles County, California, 90405, United States of America"
990,California State University-Dominguez Hills,"Carson, CA",Collegelist,
991,Sonoma State University,"Rohnert Park, CA",Collegelist,
992,Stanford University,"Bowling Green, KY",Collegelist,
993,St. Ignatius College Preparatory," Chicago, IL",Collegelist,
994,,,,
995,Santa Clara University,"Santa Clara, CA",Collegelist,
996,Istituto Tecnico Per Il Turismo G. Leopardi,,,
997,"University of California, Los Angeles","Los Angeles, CA",Collegelist,
998,"University of California, Los Angeles","Los Angeles, CA",Collegelist,
999,Harvey Mudd College,"Claremont, CA",Collegelist,
1000,The Branson School," Ross, CA",Collegelist,
1001,,,,
1002,"University of California, Berkeley","Berkeley, CA",Collegelist,
1003,Van Nuys Senior High School,"6535 CEDROS AVE VAN NUYS, CA 91411",Collegelist,
1004,University of Waterloo,"(University of Waterloo, 200, University Avenue West, Beechwood, Waterloo, Regional Municipality of Waterloo, Ontario, N2L 3G1, Canada, (43.47061295, -80.5449578682))",Nominatum,"University of Waterloo, 200, University Avenue West, Beechwood, Waterloo, Regional Municipality of Waterloo, Ontario, N2L 3G1, Canada"
1005,Harvard Business School,"(Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America, (42.3662654, -71.1219945))",Nominatum,"Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America"
1006,Penn State University,"(Pennsylvania State University Du Bois Campus, 1, College Place, DuBois, Clearfield County, penna, 15801, United States of America, (41.1272027, -78.7520584))",Nominatum,"Pennsylvania State University Du Bois Campus, 1, College Place, DuBois, Clearfield County, penna, 15801, United States of America"
1007,San Francisco State University,"San Francisco, CA",Collegelist,
1008,City College of San Francisco,"(City College of San Francisco, Ocean Campus, 50, Phelan Avenue, Ingleside, SF, California, 94112, United States of America, (37.72594135, -122.451380026))",Nominatum,"City College of San Francisco, Ocean Campus, 50, Phelan Avenue, Ingleside, SF, California, 94112, United States of America"
1009,El Camino High School,"400 RANCHO DEL ORO DR OCEANSIDE, CA 92057",Collegelist,
1010,Northeastern University,"New York, NY",Collegelist,
1011,Simmons College,"Boston, MA",Collegelist,
1012,University of Wisconsin-Madison,"Madison, WI",Collegelist,
1013,University of Maryland College Park,"College Park, MD",Collegelist,
1014,University of Pittsburgh,"Pittsburgh, PA",Collegelist,
1015,Rensselaer Polytechnic Institute,"Troy, NY",Collegelist,
1016,Rensselaer Polytechnic Institute,"Troy, NY",Collegelist,
1017,Northeastern University,"New York, NY",Collegelist,
1018,University of Sydney,"(USyd, Fisher Road, Golden Grove, Eveleigh, Sydney City, New South Wales, 2006, Australia, (-33.8890431, 151.189421365))",Nominatum,"USyd, Fisher Road, Golden Grove, Eveleigh, Sydney City, New South Wales, 2006, Australia"
1019,Woodlynde,"(Woodlynde School, West Valley Road, Tredyffrin Township, Chester County, penna, 19087, United States of America, (40.0564156, -75.4088589286))",Nominatum,"Woodlynde School, West Valley Road, Tredyffrin Township, Chester County, penna, 19087, United States of America"
1020,Woodlynde,"(Woodlynde School, West Valley Road, Tredyffrin Township, Chester County, penna, 19087, United States of America, (40.0564156, -75.4088589286))",Nominatum,"Woodlynde School, West Valley Road, Tredyffrin Township, Chester County, penna, 19087, United States of America"
1021,George Mason University,"Williamsburg, VA",Collegelist,
1022,Stafford High School,"Bowling Green, KY",Collegelist,
1023,Bard College at Simon's Rock,"Rochester, NY",Collegelist,
1024,University of Edinburgh,"(University of Edinburgh, St John Street, Holyrood, Old Town, City of Edinburgh, Scotland, EH8 8AQ, United Kingdom, (55.9503704, -3.18041115751))",Nominatum,"University of Edinburgh, St John Street, Holyrood, Old Town, City of Edinburgh, Scotland, EH8 8AQ, United Kingdom"
1025,MIT,"(MIT, Amherst Street, Cambridgeport, Cambridge, Middlesex County, Massachusetts, 02238, United States of America, (42.3583961, -71.0956777459))",Nominatum,"MIT, Amherst Street, Cambridgeport, Cambridge, Middlesex County, Massachusetts, 02238, United States of America"
1026,California Institute of Technology,"Pasadena, CA",Collegelist,
1027,Middlebury College,"Middlebury, VT",Collegelist,
1028,The Hill School,"(Hill School, Pleasant Street, Winston-Salem, Forsyth County, North Carolina, 27107, United States of America, (36.06439175, -80.2060828986))",Nominatum,"Hill School, Pleasant Street, Winston-Salem, Forsyth County, North Carolina, 27107, United States of America"
1029,Casa Hispana,"(Casa Hispana, South Campus Drive, Pittsford Town, Monroe County, New York, 14445, United States of America, (43.1005556, -77.5147222))",Nominatum,"Casa Hispana, South Campus Drive, Pittsford Town, Monroe County, New York, 14445, United States of America"
1030,Michigan State University,"East Lansing, MI",Collegelist,
1031,Peking University,"(北京大学, 求知路, 海淀路社区, 海淀区, 北京市, 100871, 中国, (39.9920267, 116.306706539))",Nominatum,"北京大学, 求知路, 海淀路社区, 海淀区, 北京市, 100871, 中国"
1032,Nanjing University,"(NJU, 三江路, 鼓楼区, 南京市, 江苏省, 210093, 中国, (32.0565957, 118.774088328))",Nominatum,"NJU, 三江路, 鼓楼区, 南京市, 江苏省, 210093, 中国"
1033,Colorado State University,"Fort Collins, CO",Collegelist,
1034,Colorado State University,"Fort Collins, CO",Collegelist,
1035,Princeton University,"Princeton, NJ",Collegelist,
1036,University of Science and Technology of China,"(中国科学技术大学 东校区, 96号, 金寨路, 包河区 (Baohe), 合肥市 / Hefei, 安徽省, 230026, 中国, (31.83907195, 117.264190508))",Nominatum,"中国科学技术大学 东校区, 96号, 金寨路, 包河区 (Baohe), 合肥市 / Hefei, 安徽省, 230026, 中国"
1037,Longyan Yizhong,,,
1038,SCC Business Institute,,,
1039,Occidental College,"Los Angeles, CA",Collegelist,
1040,Occidental College,"Los Angeles, CA",Collegelist,
1041,Munich International School," Bellevue, WA",Collegelist,
1042,"University of California, Santa Barbara","Santa Barbara, CA",Collegelist,
1043,Universitat Autònoma de Barcelona,"(UAB, Cerdanyola del Vallès, Vallès Occidental, BCN, CAT, España, (41.5005953, 2.1067321))",Nominatum,"UAB, Cerdanyola del Vallès, Vallès Occidental, BCN, CAT, España"
1044,,,,
1045,Communicatie Rotterdam,"(Museum voor Communicatie, Zeestraat, Archipelbuurt, Den Haag, MRDH, Zuid-Holland, Nederland, 2585AM, Nederland, (52.0860548, 4.3014767))",Nominatum,"Museum voor Communicatie, Zeestraat, Archipelbuurt, Den Haag, MRDH, Zuid-Holland, Nederland, 2585AM, Nederland"
1046,University of Adelaide,"(University of Adelaide, North Terrace, Adelaide, 5000, City of Adelaide, South Australia, 5005, Australia, (-34.9189225, 138.604236675))",Nominatum,"University of Adelaide, North Terrace, Adelaide, 5000, City of Adelaide, South Australia, 5005, Australia"
1047,University of Adelaide,"(University of Adelaide, North Terrace, Adelaide, 5000, City of Adelaide, South Australia, 5005, Australia, (-34.9189225, 138.604236675))",Nominatum,"University of Adelaide, North Terrace, Adelaide, 5000, City of Adelaide, South Australia, 5005, Australia"
1048,California State University-Chico,"Chico, CA",Collegelist,
1049,Harvey Mudd College,"Claremont, CA",Collegelist,
1050,University of North Carolina at Charlotte - Belk College of Business,"Charlotte, NC",Manual,
1051,University of Wisconsin-Madison - School of Business,,,
1052,Rider University,"Lawrenceville, NJ",Collegelist,
1053,Shippensburg University of Pennsylvania,"Shippensburg, PA",Collegelist,
1054,California State University-Chico,"Chico, CA",Collegelist,
1055,Champlain College,"Burlington, VT",Collegelist,
1056,University of Hawaii at Manoa,"Honolulu, HI",Collegelist,
1057,Boston University,"Boston, MA",Collegelist,
1058,The University of Texas at Austin,"Austin, TX",Collegelist,
1059,Piedmont High School,"800 MAGNOLIA AVE PIEDMONT, CA 94611",Collegelist,
1060,Tufts University,"Medford, MA",Collegelist,
1061,American School in London,"(American School in London, 1, Waverley Place, City of Westminster, London, Greater London, England, NW8 0NP, United Kingdom, (51.534866, -0.1767159))",Nominatum,"American School in London, 1, Waverley Place, City of Westminster, London, Greater London, England, NW8 0NP, United Kingdom"
1062,Canadian Marketing Association,,,
1063,Dalhousie University,"(Dalhousie University, Alumni Crescent, Jollimore, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 2A1, Canada, (44.6366846, -63.591823705))",Nominatum,"Dalhousie University, Alumni Crescent, Jollimore, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 2A1, Canada"
1064,Rochester Institute of Technology,"Rochester, NY",Collegelist,
1065,University of Phoenix,"Phoenix, AZ",Collegelist,
1066,Syracuse University,"Syracuse, NY",Collegelist,
1067,California State University-Long Beach - College of Business Administration,,,
1068,CSUDH,,,
1069,Elon University - Martha and Spencer Love School of Business,"Elon, NC",Manual,
1070,North Carolina State University,"St. Louis, MO",Collegelist,
1071,North Carolina State University,"St. Louis, MO",Collegelist,
1072,North Carolina State University - College of Management,"Babson Park, MA",Manual,
1073,Fairfield University,"Fairfield, CT",Collegelist,
