,school-name,matched_again,match_from,school_address
50,Central University of Finance and Economics,"(中央财经大学, 39号, 学院南路, 海淀路社区, 海淀区, 北京市, 100098, 中国, (39.95814755, 116.336279593))",Nominatum,"中央财经大学, 39号, 学院南路, 海淀路社区, 海淀区, 北京市, 100098, 中国"
51,California State University-Los Angeles,"Los Angeles, CA",Collegelist,
52,Grossmont College,"(Grossmont College, Grossmont College Drive, El Cajon, San Diego County, California, 92020, United States of America, (32.81650395, -117.005463884))",Nominatum,"Grossmont College, Grossmont College Drive, El Cajon, San Diego County, California, 92020, United States of America"
53,Massachusetts Institute of Technology,"Cambridge, MA",Collegelist,
54,Bentley University,"Waltham, MA",Collegelist,
55,Bentley University,"Waltham, MA",Collegelist,
56,The University of Georgia,"Athens, GA",Collegelist,
57,Indiana University Bloomington,"Bloomington, IN",Collegelist,
58,University of New Orleans,"New Orleans, LA",Collegelist,
59,Mesa Community College,"(Mesa Community College, Superstition Freeway, Mesa, Maricopa County, Arizona, 85204, United States of America, (33.38927715, -111.870206918))",Nominatum,"Mesa Community College, Superstition Freeway, Mesa, Maricopa County, Arizona, 85204, United States of America"
60,Northeastern University,"New York, NY",Collegelist,
61,Central Florida Community College,"(Central Florida Community College, Southwest 30th Avenue, Ocala, Marion County, Florida, 34474, United States of America, (29.1646988, -82.1739821))",Nominatum,"Central Florida Community College, Southwest 30th Avenue, Ocala, Marion County, Florida, 34474, United States of America"
62,Georgia Institute of Technology,"Atlanta, GA",Collegelist,
63,Brigham Young University,"Provo, UT",Collegelist,
64,,,,
65,University of Wisconsin-Madison,"Madison, WI",Collegelist,
66,University of Wisconsin-Madison,"Madison, WI",Collegelist,
67,University of Wisconsin-Madison,"Madison, WI",Collegelist,
68,Beihang University,"(北京航空航天大学, 北四环中路, 海淀区, 后八家, 海淀区, 北京市, 100083, 中国, (39.98082975, 116.341012363))",Nominatum,"北京航空航天大学, 北四环中路, 海淀区, 后八家, 海淀区, 北京市, 100083, 中国"
69,Boston University,"Boston, MA",Collegelist,
70,Massachusetts Institute of Technology,"Cambridge, MA",Collegelist,
71,,,,
72,Manhattan College,"Riverdale, NY",Collegelist,
73,Carnegie Mellon University,"Pittsburgh, PA",Collegelist,
74,Cornell University,"Ithaca, NY",Collegelist,
75,Massachusetts Institute of Technology,"Cambridge, MA",Collegelist,
76,Massachusetts Institute of Technology,"Cambridge, MA",Collegelist,
77,New York University,"New York, NY",Collegelist,
78,Emerson College,"Boston, MA",Collegelist,
79,Villa Walsh Academy," Morris Township, NJ",Collegelist,
80,University of Illinois at Urbana-Champaign,"Champaign, IL",Collegelist,
81,Saint John's High School,"400 FOUSSARD AVE SAINT JOHN, ND 58369",Collegelist,
82,Harvard Business School,"(Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America, (42.3662654, -71.1219945))",Nominatum,"Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America"
83,University of Cambridge,"(Cambridge University Library, West Road, Newnham Ward, Cambridge, Cambridgeshire, East of England, England, CB3 9DR, United Kingdom, (52.20507235, 0.107724904507))",Nominatum,"Cambridge University Library, West Road, Newnham Ward, Cambridge, Cambridgeshire, East of England, England, CB3 9DR, United Kingdom"
84,New Jersey Institute of Technology,"Newark, NJ",Collegelist,
